,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
728,1864,PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,yes
729,1865,PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,yes
730,1868,PONTIAC Solstice,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19,26,21,6,no
731,1869,PONTIAC Solstice,2.0,4,Man-5,2WD,Gasoline,small car,6,19,28,22,6,no
732,1872,PONTIAC Solstice,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19,24,21,6,no
733,1873,PONTIAC Solstice,2.4,4,Man-5,2WD,Gasoline,small car,6,19,25,21,6,no
734,1874,PONTIAC Torrent,3.4,6,Auto-L5,2WD,Gasoline,SUV,7,17,24,19,5,no
735,1875,PONTIAC Torrent,3.4,6,Auto-L5,4WD,Gasoline,SUV,7,17,24,19,5,no
736,1880,PONTIAC Torrent,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16,24,19,5,no
737,1881,PONTIAC Torrent,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16,24,19,5,no
738,1882,PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25,31,27,8,yes
739,1883,PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26,33,29,8,yes
740,1887,PORSCHE 911 GT2,3.6,6,Man-6,2WD,Gasoline,small car,6,16,23,19,5,no
741,1889,PORSCHE 911 GT3,3.6,6,Man-6,2WD,Gasoline,small car,6,15,22,18,5,no
742,1891,PORSCHE 911 GT3 RS,3.6,6,Man-6,2WD,Gasoline,small car,6,15,22,18,5,no
743,1894,PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15,23,18,5,no
